,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-T,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C,IR-C
θ/δ,1.17514465089795,0.74283704105332,0.929443241759821,0.448192291985804,0.953873352301575,0.680910888348875,0.781328938315609,0.917866886886886,0.609413620026747,0.557361920966341,1.08514024922956,1.15797147761129,1.67876249212527,0.997152156614599,0.98690675571867,0.832579429167533,0.738173818420182,1.18471445434955,0.95583723871943,1.03062660664674,1.4923829439631,1.21611747028225,1.16472443140348,1.09741282962088,0.801299005487579,1.38500631577397,0.839613821160799,1.52635543288034,1.15213356417853,1.06652739299418,1.14102133163768,1.36574970723078,1.17411489271278,1.26557288829112,0.844394519303228,0.721787534316776,0.743183831067372,1.05964705094299,0.994250767272099,1.08195454404932,1.24858284530347,1.64984501319532,1.36467603365287,0.994992401849388,1.8087601878294,1.21195361047529,0.91111300965664,1.11470117318246,0.72354973397575,1.49304173251821,1.11411290704944,0.724115421727894,0.743553007032589,0.573877245946008,0.397382085029474,0.47079937028491,1.20698790722267,1.28155673919985,0.72295682365128,0.93206958271303,1.68803035010791,1.2835644451785,0.85017899397456,0.84041531687619,0.81236464901824,1.1943238628224,0.644507487025107,0.992728426711397,0.735927537375956,1.25800738806593,0.919248854384928,1.31780336143827,1.17277682113223,0.722715736431846,0.526465943094624,1.1162182565245,1.24651524389939,1.21934990326751,1.13987348385698,1.01951752667437,0.869300998317312,0.918847111027019,1.00728967164962,1.34542669410554,1.31243234831005,0.852312625553221,1.39958658506107,0.944086901868993,1.22597001582362,0.760474621192025,1.14796471790866,0.871859470804669,1.54666580155509,1.0046883778814,1.06431774070664,1.41176257845658,1.11896550424167,1.41880305340177,1.29919554546315,1.49019277884378,1.25310792141587,0.992400968704934,1.60775459050827,1.33727458698233
α/δ,1.02268090253487,0.362073739308748,0.700348486623505,-0.135444245969849,0.450270019721037,0.303103508919859,0.288470401387343,0.565293980156951,0.252071259159671,0.0887375708776042,0.865439847303518,0.846365342657843,2.33689050396152,0.468151652301448,0.6188622560526,0.532237910627637,0.385283897157722,1.13126220202323,0.352017511189239,0.486036900291715,1.55701869464769,1.01032082105633,1.1043439691683,0.951605812276619,0.462331216176151,1.58083244389309,0.172612778846431,1.87136880309936,1.00265353972291,0.662028808145828,0.785659456283403,1.59239433766553,1.11430245763004,1.04788302249161,0.31779357862518,0.127787715787805,0.0970586944907496,0.736949550350825,0.567792826711374,0.81049069089281,1.06586584532926,2.04032619046076,1.51857856410246,0.33465193690956,1.91100917744014,0.940520503227467,0.543493592733665,0.818467095129991,0.308967119535446,1.77029645277681,0.960690150901883,0.228489345524725,0.358218900759218,-0.194399020250315,-0.300579638249746,-0.217547701695744,1.02943922906415,1.1056236343324,0.23041462065079,0.542389062955966,2.53529115771678,1.26224690357138,0.318726839385032,0.477623511138626,0.152684045790963,0.816600401430832,0.0874654600073377,0.669822476433109,0.409829377751869,0.965738309965214,0.452498161235111,1.30344521660286,1.22708899984139,0.184224280164745,-0.165480045756656,0.914443833894284,1.23946722554804,0.825655284200377,0.538981028339982,0.618021023552373,0.217464614207655,0.644474132482446,0.835698468674844,1.39952992881537,1.05276491928347,0.302835184696426,1.15041370114359,0.804892709222602,1.01231982265853,0.271002680646046,0.640903734904001,0.434103219541646,1.80801515339873,0.713003075146993,0.713960040465823,1.02536140488847,0.593723471601839,1.23161612471177,1.19809184407859,1.32664723571803,0.926854351598736,0.293563929877597,1.65652907052722,1.25198520781061
β/δ,0.842770429617619,0.847396345770816,1.18461160475421,0.549326092405417,1.02293209528457,0.672557315680921,0.682488783463898,1.00252110674537,0.665568045333542,0.590982901921198,1.07474132985197,1.37144344147624,2.0998630423384,0.753491856911049,1.30694003095828,0.80171112361861,0.735120073651312,1.24901260518769,1.23678554868614,0.720833536076298,1.49088119927983,2.14015126924082,1.40393632223271,1.30698553175255,1.43134744558925,1.65279408679762,1.23823645658644,1.95574125758784,1.96613258640997,1.05314667443065,1.56932757315354,1.88378902101983,1.4109286217932,1.67999472394429,0.830515598119302,0.883029387582017,0.494675820132559,1.5431961066426,1.64602238875281,0.887648054609224,1.85358555855546,2.25929186991093,1.39473572615469,1.07859319469012,1.74297458750604,1.65240710027516,1.46495679214252,1.3054701945958,1.17169919762685,2.00432700545909,1.47048128722066,0.815101199152231,1.51255534168793,0.490756396107427,0.446748875415764,0.516222078650171,2.01825842161077,1.36899170236033,0.666267458513387,0.602653657772915,2.19906340920199,1.66596818469241,0.741914389286596,0.898228178728914,0.576969793120817,1.27601809810169,1.02546373548277,1.19466425664657,0.858419222586566,1.57766231785251,1.00027886813645,1.64702637107482,2.24101921273049,0.652440966513986,0.52040545863001,1.45737960407358,1.48009610213749,1.0791613739253,0.611511086845289,0.567717002336233,0.637181317541854,0.816506490582748,1.67081738117637,1.35077336717164,1.15329557921929,0.779151957116736,1.19644319120985,0.961647022180221,1.39693859094783,0.627251806526314,0.840503870476199,0.908329574422417,2.19773750740541,1.24204829580889,1.80791815913697,1.26800827696341,0.708804577969471,1.12289273799719,1.38188248044842,1.72738484979799,0.891604679653941,0.966859445720338,2.98344448549057,1.93709872288021
γ/δ,0.087025831488866,0.673128969403791,0.319154813774625,0.0754914967778811,0.420653465260574,0.154661823059576,-0.146127579163581,0.553363385361732,0.517438416868407,0.355406219990838,0.335290228886995,0.107738305953237,0.66173796397608,-0.0353181277520724,0.940805705278141,0.335886904132419,0.168894082206128,0.183909496176395,0.674636279901241,-0.0218046086232211,0.564530712320771,1.61500586502907,0.535392996361612,0.277202567294773,0.503508920083552,-0.210226477937299,0.408803460975456,0.34207014274156,1.17183298160345,-0.294415650941357,0.818878151950159,0.728488194065305,0.544620185548538,0.730118277304841,-0.484180437934117,0.41914683409095,-0.249112856614703,1.06726624539794,0.824600854051989,0.220236320489901,1.02960757631084,0.0927435207748335,0.0328149680073119,-0.0556204865955883,0.467965250540135,0.389218285229491,0.741756462857525,0.221728269460171,0.578317293024075,0.749442807858078,1.31364487191036,0.536462969820424,1.08144361533679,0.234217044663845,0.379481865151304,0.195112043725727,1.04831402437491,0.749800789445929,0.409060913594267,-0.263428215829369,0.108103576615604,-0.0764645218898332,0.432232723784892,0.654052037729152,-0.0352445567505971,0.528512138747913,0.656137950621933,0.590679899820649,0.751423148638525,0.918845613206683,0.176876585358185,0.53009565791208,0.785531379809484,-0.620394673267298,-0.86526460355108,1.08958172519436,-0.440731045090508,0.515352776560379,-0.0573590220106875,-0.920976892241559,-0.881522166865306,-0.440579797098616,0.992918504383184,-0.32721513956106,0.570246004588942,0.359579164316286,-0.666648737799705,-0.537653692086324,0.184629113439883,0.177643582828561,0.0787616095985721,0.204395252030842,0.906439337811486,-0.377286891599139,0.897001732600143,-0.462018661755577,-0.0247032340960137,-0.109214034636984,0.193886146539884,0.930309140126252,-0.636123360487843,0.185384344319247,0.633278237523182,0.985515103405608
α/θ,0.765245392695083,0.815580369978754,0.679595638482401,0.250642039580573,0.661224262782606,0.41025880486078,0.257843291255561,0.580530877789464,0.250129169678279,0.0623096886609914,0.887278972492796,0.689325110271523,1.35284589170821,0.437120020117922,0.516777481293014,0.606442752872399,0.468596494150602,0.985903817147625,0.414562280121316,0.455129843756584,1.106780596215,0.776776348368776,0.883192633585974,0.810345918478853,0.522152403579412,1.10513392873753,0.248719653294629,1.16349945210923,0.762164192713533,0.6287865908963,0.644235641042602,1.37200352863278,0.88890428811463,0.859549675424742,0.257675360239774,0.289819198203622,0.196955711052643,0.624511083728128,0.54696399997641,0.708501912839958,0.796965952524598,1.18723850595956,1.05701628592618,0.286625343127832,0.996501711787557,0.78405922389414,0.535930074513734,0.695819560096087,0.302513114988013,1.12423151043076,0.845132040778311,0.382075299794817,0.391420142844486,0.164738587170986,0.359117453497385,0.764586927059306,0.789698491389825,0.825465767192392,0.252667670178818,0.48564950937185,1.43174265207964,1.1007959336516,0.297309300290888,0.532410797577144,0.117828692189357,0.708527143672515,0.244919234451801,0.64475266280294,0.690284527097676,0.735538524009914,0.463404095109095,0.963632926080983,1.01047182381164,0.488354766254514,0.453249037470789,0.734710445438953,1.03261301871048,0.638500515486996,0.44236062279402,0.615878135204353,0.213347916143461,0.625562833371164,0.808672680812938,1.00852533807047,0.766077945731409,0.42523016175087,0.825564159109334,0.804842855141815,0.793156013978452,0.272373798482117,0.538971235917571,0.433236597281589,1.14898627055227,0.655754656498686,0.606147688835098,0.703215419840418,0.503332324756254,0.875112817308632,0.909698726813832,0.871309398084479,0.686687646898986,0.256247684137445,1.15105200857443,0.953808862337036
β/θ,0.709121691165456,1.63632263384354,1.26709674307404,1.07638509531086,1.62724451465323,0.978869813340113,0.91104017818028,1.08316649537777,1.10651328878345,0.987270636648784,1.14999608105058,1.18680890873494,1.25421584632065,0.787702828655805,1.40631204511079,0.966505522885078,1.00802730550674,1.11472972800027,1.41207250261119,0.72068551655702,1.15517843815738,1.94528279048221,1.16770592291188,1.15675678202479,1.80562641786897,1.19859552665172,1.63672134842135,1.2716317085534,1.66038702999185,1.07188692921503,1.40495801794876,1.92479419587427,1.16942420650788,1.50804838858025,0.979173592980682,1.32659213145007,0.679434895922917,1.43090482700454,1.70445767718876,0.823188276655312,1.46584024509746,1.33335436931569,1.00723806909307,1.36955057675577,1.02033448557622,1.72019301882041,1.63476591164512,1.21872142424666,1.74618077024019,1.29478182254891,1.30615464771334,1.42945323100939,2.00606695822602,1.07594883692445,0.892523688784422,1.17521370183892,1.62615709181425,1.06272576480769,0.924100903858692,0.613400796302823,1.26181590973757,1.57242043041922,0.89492297633602,1.06312795910691,0.690714948615698,1.14446311647555,1.43266200495532,1.19856898079134,1.20110398154052,1.4260944513096,1.09982204795992,1.31250539673719,1.91220764062892,0.977814127867883,0.889799652209579,1.28306987199126,1.25218201046802,0.897555094240309,0.556934816370984,0.610080247120319,0.720081998004058,0.884369098416844,1.70548119677687,1.0123900753288,0.892995541031312,0.957591052131325,0.915853270514574,1.02948375164621,1.18117687487319,0.778353961110684,0.753128712744883,1.08404783452998,1.423194511234,1.26901328432498,1.80993677996563,0.938447406820904,0.656094410778712,0.844336781036953,1.11896362149784,1.19585304637228,0.711517980068777,1.13566669486415,2.23088501386647,1.63972080566361
γ/θ,0.0966521959927134,1.39252193317653,0.348715872961728,0.552743269775435,0.660285161063635,0.229481626946497,-0.47270669554206,0.580997864056137,0.811220856894353,0.514217399748019,0.321943093903318,0.0858210281021892,0.40379243917315,-0.0948852387092863,0.955007544212049,0.412901426166052,0.234533994555921,0.123200019663947,0.315487368216712,-0.0187891420746857,0.425172122369566,1.24656042462856,0.462541645149382,0.24905353619877,0.620041844953207,-0.18303705726454,0.492863720762716,0.221066549688958,0.941780489062594,-0.343247633270288,0.685493658107908,0.710779408242329,0.467268280186271,0.598968902903739,-0.794805752126944,0.435939474797292,-0.333797197129543,0.931721462115968,0.856988596123612,0.217222254045396,0.798568775176906,0.0430136508231912,0.0199247859051061,-0.39781187481254,0.325155980231921,0.48820936203273,0.742322809365816,0.191125876503725,0.695851190453741,0.485442922548402,1.20319745211347,0.990765783301711,1.34824986180505,0.795761040940573,0.867035123477867,1.17348130826096,0.798376969181566,0.600898237642562,0.531032874115415,-0.353783939505622,0.101599790792371,-0.222622009345131,0.514708190971096,0.771011036796876,-0.13617204563346,0.431282965956695,0.91612165436768,0.600030172638659,0.957258890668405,0.837568006472627,0.17571563437832,0.39033228910346,0.68008806604534,-0.355919385498912,-0.490696162649701,0.962638876110792,-0.484637562939795,0.44470772360229,-0.0526811563785735,-1.07920759942431,-1.11943711626004,-0.49235068777396,0.950568184581753,-0.250392954668406,0.460249980496433,0.481994067175308,-0.528755935977848,-0.612285190848863,0.170364868910724,0.116853271332089,0.0815000592307941,0.214886651941398,0.589324063161762,-0.514892361191595,0.828950527182691,-0.356291562727408,0.00675589569480302,-0.089333608564072,0.173074638824394,0.649830238031599,-0.559369400745689,0.224269012572766,0.356429622771092,0.791588647137699
β/α,0.997353688757956,1.58770015006196,2.05691031015021,0.489470839411109,1.57599609546745,1.69554612015907,1.28961995181447,1.91847990810512,1.25942769498104,1.30063510688684,1.41678341888104,1.79704211668953,0.976931974911479,1.39903613804427,1.74497286725298,1.66566393030553,1.7421363350745,1.1975109623019,1.79500912854228,1.17599098738612,1.1308262392027,2.29968956877938,1.35278923695311,1.46554839270681,2.86597527253167,1.09833277298346,1.4762495221337,1.17282799511077,1.96032913534546,1.69489257337114,2.13548231359608,1.61151348428791,1.34691343997213,1.83257829673643,1.19514904797656,1.05200145472364,1.42846993048011,2.28537082025504,3.24148860091513,1.20619997711478,1.9177118295169,1.13374208236709,1.02301753378448,1.28285148971052,1.1181403330792,1.93944664440866,2.06678822467157,1.74846549716075,2.07470176297837,1.17890063475078,1.55733450135557,1.10859761122736,1.90343944118052,0.455068168615971,-0.0142914657687234,0.900869435791378,1.96721511408747,1.30700308765177,1.53545614613772,1.10076528055724,0.905393124496184,1.46620660630257,1.50941172486816,2.10201413556154,1.14027487987142,1.61437702719129,1.54668933121404,1.9532791639127,1.09047109664826,1.74815513918189,2.1358562744685,1.42423098399487,1.9835345424396,1.57446448582637,0.963013379289672,1.68808466916048,1.2397435467428,1.4400389635496,1.16696719024925,0.95507750096053,1.18450235139736,1.41264177333377,1.89718930719456,1.04747038744051,1.19437962038277,1.38090947754446,1.17699313396808,1.33824130535686,1.60045923931897,1.35340966270152,1.4421549871902,1.69312606387502,1.26592052256138,1.67991914765086,2.53393130713875,1.37521188650953,1.2583855756037,0.970917845449433,1.32291923914126,1.42186790083633,1.07792645759711,1.52078228045602,2.01840544749257,1.76765444167023
γ/α,0.133590290009705,1.50665576009879,0.565940971931713,1.091987640222,0.912393976710343,0.456568725076904,0.495544330721907,1.00639210297015,1.13332196510597,1.23964721346388,0.442673134620151,0.0746147456859899,0.345424457840012,0.0856719324472503,1.26007844809519,0.660746379745673,0.405184526876794,0.241751533132371,1.07595028624056,0.137799668291002,0.471216569392381,1.43498262200288,0.541267280040276,0.312833154781821,1.06667994906122,-0.163424701117247,1.08974999949825,0.204904894951845,1.18327753052881,-0.527698276378662,0.964935912553954,0.674101470971956,0.543584012247207,0.743084178623329,-0.175238330149604,1.14527482407499,0.129095257920586,1.32438561282648,1.59827951417739,0.322206922316486,1.03388825645448,0.0426081369033371,0.0474487792986624,0.160311844096402,0.358423157296907,0.550187766958867,1.01925694595883,0.249443339778835,1.40856650361953,0.428122230739885,1.42459817599946,1.18595166445675,1.49806974572973,0.916859050246885,0.115571071779373,1.30956757237182,0.934729757351785,0.745537298573771,1.17738415413421,-0.287084906683547,0.0983804903946054,-0.173446328958429,1.139931986208,1.43528727658656,0.552289782925404,0.582608219101337,1.43981654826308,0.934769408061971,1.10895850789537,0.994275758246268,0.255257085650908,0.433616882451069,0.702072961591984,-0.267066577617604,1.14285155102879,1.18515475716684,-0.451564235096757,0.653275205377862,-0.200450202018715,-1.54151495460246,-0.228628799068021,-0.785239291466999,1.25758074000294,-0.245778089790777,0.563243153796076,0.861102491761686,-0.682561159829559,-0.802957653600235,0.258091522458249,0.340067120812694,0.0989969399206317,0.407098830122779,0.52953242819761,-0.309145938034757,1.07133006020073,-0.556057112665152,-0.0767120358841463,-0.127261657253475,0.273889423776259,0.753937750808226,-0.808050774215195,0.483493864538722,0.337200278707631,0.880906880673809
γ/β,0.0814748774751439,0.480559467611254,0.284370320005824,0.206181530530006,0.189790211930865,0.231585593159548,-0.61230295192442,0.429423414668109,0.715708255676232,0.478244915444637,0.190193548153645,0.00289732427973084,0.329301033997511,-0.230240514087163,0.559635104023457,0.364219041044798,0.232792253515473,0.0699419029717148,-0.189631928628723,-0.270054983738216,0.312427487717916,0.598648490847665,0.394905208757448,0.210533901095019,0.370972169922549,-0.172791569253689,0.0932088873147401,0.171894044398551,0.578221406330725,-0.313080919203246,0.414725281307552,0.299715509339719,0.398417390040888,0.342482744196102,-0.919471064694882,-0.139120559173036,-0.373743441856144,0.559349807000793,0.511885533270421,0.194174583976129,0.528398846343535,0.0255460967624065,-0.0153617948661669,-0.38423728380033,0.176184961001888,0.200304698967178,0.465351405665803,0.132087297658997,0.40634169625011,0.352811101186991,0.91443208262685,0.452304146105637,0.655029916310475,1.14326695561598,0.818210611113363,0.888915002879148,0.466359373509723,0.562232674947665,0.365706977713845,-0.621843251257839,0.0898774283945738,-0.133470577894118,0.277163125119105,0.660925120973969,-0.0428877232990784,0.265311883155305,0.45458254512251,0.455830247604424,0.412754034639013,0.477406115865376,0.107377085728813,0.324483844364256,0.385965906302669,-0.595010779216382,0.192789058239935,0.615694500852214,-0.384011837945041,0.354119787413895,-0.573283771616122,-1.87299181639367,-0.770781273482506,-0.685901760553404,0.334046726474548,-0.283157896549243,0.407280339664361,0.425867726491434,-0.6040986756037,-0.619027611702012,0.130403512320612,-0.270892373603817,-0.00209769778415956,0.13728012476487,0.388879999351618,-0.40011756047734,0.458508957204931,-0.451173997383844,-0.269137237994695,-0.277327080108473,0.0990059364353205,0.366606413261323,-0.806853240070873,-0.21315434973971,0.170866095205053,0.360608263445899
