,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-T,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C,Open-C
θ/δ,1.28722366363564,0.880307908231011,0.981604220024203,0.448447135245565,0.472295837556715,1.05347387933902,0.805350840502634,0.956622297506589,0.841220694165398,0.618216398683751,1.10117917215527,1.05783149731397,2.15796793361431,1.09620373340449,1.1889845647898,0.94372017414604,1.04596529010005,1.1786921438057,0.96760509269274,1.25828018185147,1.51743703470923,1.07308989804396,1.31083217336218,1.27811413565875,1.02936363274931,1.50412296176701,0.832006000456231,1.55640384494234,1.29691049850841,1.13341482394289,1.4309529885387,1.33350483161714,0.884703661805929,1.29180155083603,0.830430074571458,0.752589331750696,0.777490933718708,1.11054950597405,1.12872655878249,1.12222538747905,1.30413467256388,1.65731653647066,1.6325118984932,1.0222477821365,1.56071694005257,1.24932688566995,0.813995291371031,1.04920899512834,0.738143151655919,1.5971860681813,1.04715573406718,0.800650496805309,0.896687644189054,1.3043822346508,0.977083039033554,0.759532341034247,1.60031454484999,0.906651425658985,1.30422194006184,1.4144785409148,1.75078993290761,0.514039691277735,0.446372118761666,0.613076605172981,1.54591926601102,1.54908755147908,0.804694396517552,0.933811870703182,0.879395117680027,0.918409993269309,1.27472469721274,0.806619294710153,1.14088888410358,0.736225925388604,0.837060947138581,-0.0962918796229645,1.17055635170501,1.04221494145041,1.07789138421269,1.04119216730827,0.970083131512751,0.128129927804641,0.321098679206578,0.740985331921921,1.16982171375507,0.785300336452427,0.737479345687973,1.00558310086541,1.39152386834944,0.671172409836356,1.09622638180932,1.00283961904358,1.41002714488864,0.857856125743685,1.07950682479342,1.10324152233305,1.01884084480693,1.32160196993298,1.1774386241249,1.54066224210075,1.13022791045829,1.04441265469346,1.67277255857212,1.26107314181736
α/δ,1.07804765317134,0.543833138638231,0.673184217247608,-0.16989740756456,0.434460754259109,0.594938851134251,0.290733725882117,0.666371397872208,0.437825422236236,0.134754826775786,0.93097210110402,0.730379393584639,3.36997798374131,0.54910355693976,1.0216989672008,0.569429922051585,0.594630559614229,1.13917412158548,0.513133455259356,0.788086212512202,1.51510633278933,0.714194455414778,1.31525019561338,1.0714965322405,0.733346601692456,1.70117847289044,0.247809884008324,1.89716192283743,1.15867332078683,0.811561257587601,1.1855615425029,1.35149934957356,0.422388864298143,1.11349859257072,0.440491699268534,0.158411907096923,0.174629017499969,0.84516369432145,0.764955068387334,0.880215609150033,1.08801210322213,1.90977341797272,1.95848427016569,0.348851296809814,1.42063855458604,1.01781354371697,0.532936190211139,0.773122163202714,0.307863968555738,1.9677152971348,0.85494129448148,0.167981681143769,0.50916763661519,1.42182972352028,0.702656488779788,0.444296638427164,1.92365168614874,0.484902079809719,1.18252792212287,1.78227915573885,2.78213788912767,-0.0800067280295078,-0.502151054978824,0.119934676793649,1.72600616612193,1.88605510507025,0.251431617856114,0.605907163598551,0.483520327165012,0.422144779091619,1.08070860480036,0.347581758346727,0.775100303288826,0.273549953989553,0.151356286642669,-0.242907406612783,1.01789375701674,0.654507790303988,0.500567990654243,0.646163662822372,0.241702541566903,-0.0293726663015879,0.0765539777010443,0.754161277145277,0.893099205005805,0.398190787405995,0.368791959694097,0.90162201061691,1.22888466352352,0.233993038872821,0.732256108685911,0.681723538500279,1.67116890836891,0.630973511206164,0.765439391484617,0.790411426049057,0.535424508820488,1.12815239487296,1.01895327901012,1.4867148558979,0.852198292163079,0.610967888836984,1.65300014927647,1.06511852049829
β/δ,0.798561717009019,0.735211401714834,1.18319823403021,0.59619796445688,0.480586768464656,1.10731540175429,0.668227972842211,1.01855590248823,0.900658302232968,0.569737844468452,1.19038455936392,1.50108992095136,2.72413076536984,0.717178881115868,1.79921285964559,0.792968881855049,1.09253453653502,1.17310726373766,1.2784444292351,0.87600427351728,1.55748992571388,1.59759398642895,1.58319236685938,1.42500919848954,1.48003541040502,1.56663088355341,1.12137244467721,1.80073141188679,2.15161263058665,1.09339576646644,2.01006629415244,2.1807145236574,1.96614119764605,1.81265521679802,0.845546295071075,0.92230985910644,0.634280318381818,1.74675942581907,1.91141844945768,0.849051411991689,1.87837690984914,2.16009951602913,1.74265742226397,1.04219603125695,1.16000916431943,1.43198910921705,1.32038441685708,1.30733479209517,1.07691318652606,2.06623979794381,1.41216610334846,1.3142048123732,2.40319973454461,1.80922757516918,1.48794212447018,0.975298398252814,2.28925034681206,1.12005213461686,1.75706774231738,2.93382137133902,2.74137714421671,0.615575780615945,0.627175746271706,1.26947386558303,2.73179609301254,2.40852457058659,0.974746397361219,1.32694512194304,0.873624910986567,0.847829362917655,1.69155968105081,1.46395789252393,1.41685686244507,0.400298189267794,1.00188335289596,-0.0512193014116727,1.28094427290437,0.949271413681704,0.415222141568124,0.511419292228041,0.637920331388729,0.0397454353492884,0.81058248707607,0.715138722377438,0.980587723570821,0.814451879916137,0.763733950431556,0.967490664326735,1.77981126951571,0.557181556785082,0.844260963985617,0.967517959686604,1.94841902984963,0.869932518589735,1.25063464367941,1.10133195855299,0.671823825787998,1.00354374707437,1.18585276725784,1.68816495382612,0.875986970750272,1.13070173209953,3.06243909053415,1.9258975352629
γ/δ,-0.112297655820787,0.597489437997133,0.247549967369841,0.0970499665121824,0.425918144917758,0.117966391585007,-0.438722827050174,0.666126023398243,0.336529511535688,0.279083834302068,0.464888983574898,0.460199834571167,0.630731729405509,-0.183680914799962,1.26191375630183,0.231578930696464,0.105530129879918,0.112367039374461,0.73211961855588,0.36613922515038,0.823251657470668,0.638672809762444,0.536532679643052,0.299217456206084,0.383328515724989,0.0531990300628122,0.255504989969694,0.305855522206707,1.33384500719306,-0.454324648033039,0.981173096257553,1.36359146971034,0.995499776969318,0.654622003020959,-0.429851805559706,0.227387051759782,-0.193314733065777,1.1024821310024,0.838441872642865,0.0359300184596691,0.713554054549808,0.452568718139186,0.150859242058562,-0.154074086367509,0.292083442336055,-0.327289067585322,0.782905090945804,0.60595535161043,0.161836786690323,0.691574246342706,1.03863265508362,0.925107397177173,1.42379381700142,0.406855273958684,0.870021921294848,0.899744652505165,1.21864627756977,0.267385130988309,0.603406171902973,1.24568743248585,1.73717347726238,0.367620483484481,0.285650937937853,0.901035719450004,1.56663978637393,1.28677692358416,0.574889553221199,1.07211226963034,0.488936525532498,0.231195890456548,1.04842062035173,1.03234918761357,0.362908222309493,-0.752096034051218,-1.18815584656904,-0.147032835927835,-0.155310157175853,0.434380764795972,-0.316303257524719,-0.984046714624,-1.38228568565191,-0.467499410079721,0.199992066079939,-0.540923292756102,0.392486101962833,0.673094947168429,0.617092217263123,-0.232744710360159,0.14085751648171,0.22828251266069,0.436877529422531,0.194176910161578,0.609975520594883,0.0371698046759708,-0.230410589973721,-0.121243862323804,0.0806465396053166,-0.165977042717987,0.312958807999083,0.681353768458211,-0.473031241421835,0.0308735877864074,0.614283457704836,0.949435149144688
α/θ,0.771611160106368,0.835982530834881,0.647733200674127,0.093553601249729,0.436626325795997,0.534445315620391,0.3235066451002,0.647834571093535,0.458452619983446,0.270873048756819,0.800679733272999,0.635743149114743,1.46231186584484,0.488281584712919,0.741231624287436,0.566641889872053,0.533598823047814,0.941155193086469,0.64750399354657,0.607823629321159,1.23840515047657,0.597231109763526,0.939880499673561,0.779712798899017,0.651181994785871,1.05492558194407,0.232299995704294,1.05618886280384,0.794281940116894,0.736598870922554,0.735628443881619,1.23312350815687,0.572681409414664,0.866065967888482,0.451025686092087,0.412435697869625,0.184027848196065,0.720927896749325,0.62273024450624,0.709047485446949,0.757931494264711,1.08211103297501,1.15974612836288,0.28551494286649,0.862217249630597,0.811600684060779,0.547967210311335,0.717332261772539,0.352433357420886,1.16955627591859,0.789278985942334,0.358807679884149,0.448940736949417,1.07179201288122,0.690548543051812,0.663204696951994,1.1042116745684,0.516285301324011,0.857077913989003,1.16768362870618,1.63527154099533,0.442311044479354,0.244502324714295,0.783823571013081,1.07911796745529,1.14075682285678,0.270456512738367,0.619140565570115,0.510212354876368,0.435304053679506,1.07770123975899,0.453542472797081,0.6310185664036,0.27302852185475,0.12444854403147,-0.246115369874334,0.953279365171488,0.591901209147658,0.429530517364199,0.552984810206821,0.134863144350056,0.03385485790465,0.105553882875114,0.408014493822203,0.729634575664583,0.47184427429238,0.427640084198547,0.827448572087553,0.838861372960832,0.276395900355134,0.673080592812396,0.634459193391933,1.10039154239018,0.667901701809612,0.699755513103708,0.667823905999442,0.513144808012495,0.836322205096683,0.76785907012837,0.902617570611318,0.684890554968525,0.513233907192216,0.951423286948578,0.826154042358274
β/θ,0.606594939727628,2.10437990026711,1.21466966874231,1.12700541913102,0.497257716445034,1.07635537800048,0.787120228462504,1.09023273143628,1.05805081311109,0.918295573438874,1.10525417540516,1.45633117491202,1.21248905002166,0.687722832983293,1.28368883030098,0.813768676564052,1.07748162711888,0.959933940763718,1.58600320705111,0.734334927027918,1.35475035857462,1.63779451897759,1.15468362322289,1.10018769735989,1.37260815307448,0.993257099338272,1.42625403423807,1.063819340422,1.54318754102452,1.03035696323842,1.35406754862092,2.31100554165186,2.33756583761214,1.4934904918194,1.01408068577165,1.19582274316425,0.837716468432593,1.51837119032096,1.60813952086296,0.710191324332995,1.43658709208217,1.27698991644484,1.0572382848651,1.0997656304807,0.787510236010327,1.56807104651154,1.4680285808789,1.24699900055646,1.55229697551462,1.24061963848162,1.32265317364938,1.68317912480639,2.91360139925849,1.81189619151748,1.56095784465358,1.23578462374175,1.36797659903345,1.26166090246696,1.37145917296143,1.94881782892718,1.64529804737235,1.52389001075625,0.797606041237113,2.03703327535194,1.78694507112151,1.5117884300586,1.26612872924135,1.47658156568652,1.03083496338966,0.934539529052387,1.60235182251579,1.75204860514231,1.4565328349878,0.466137310280069,1.39025607277211,-0.0177569451837744,1.20231836037342,0.913302192349095,0.371970168703907,0.457596101213589,0.572658075363238,0.131850553671714,1.04946904676457,0.413505514453318,0.832241936742564,1.0204406008698,0.997796714118888,0.918368582091211,1.33197936857638,0.792148229815039,0.80336253829879,0.980237690597173,1.33426176147955,0.968651891688256,1.1677956986786,0.992231249737378,0.685216218652229,0.77165747729216,0.966482428815742,1.09225234167035,0.730490390695816,1.08358590343163,1.87217350011116,1.54388801282414
γ/θ,-0.0683527344913929,1.98662987431691,0.299434963366265,0.453282504024911,0.422710816947783,0.172625218519137,-0.768572732018173,0.671851586439593,0.403311858636293,0.561156645052765,0.439125497439482,0.472122002125129,0.311798901428996,-0.197720158312073,0.921230844744812,0.258099776049279,0.170830536245266,0.0355423060316336,0.509737930198932,0.362534888314326,0.679029165209258,0.472456468232768,0.414212579140908,0.274769848105984,0.377748383153328,0.0627101667310683,0.341452190911923,0.214635896047484,0.96565749778384,-0.523349386070035,0.7453686972504,1.27182238566002,0.996225637480584,0.577898803447639,-0.572266445131446,0.154521865109193,-0.258280853559291,0.912206606092661,0.711684573058342,0.0684805818074507,0.613842224357661,0.286685867082774,0.14088309526584,-0.345227148020019,0.266154925305537,-0.699044554631711,0.852357308645311,0.594578726930634,0.28508084511603,0.431756478917537,1.0093680871293,1.22339027020349,1.49190171373247,0.62290076681176,0.927512303698741,1.18873205314756,0.825128000554534,0.30464485797551,0.518167981364488,0.885009054447651,0.998732070403942,1.23933111669342,0.610388056244523,1.72439856045276,1.08649611985395,0.842072601752367,0.738968308530112,1.17562561236648,0.602474178977147,0.239134473961517,0.647526207181472,1.29517534951261,0.261302048308596,-1.06482041792705,-1.64478304264153,-0.119490885066817,-0.206939210850098,0.44329284354983,-0.282999471680894,-0.932469918207228,-1.6447453450127,-0.511426092943663,0.305153348068911,-0.374614447501101,0.354875218592159,0.867900401072235,0.810914523291226,-0.202564750056625,0.165662303303904,0.268632147328977,0.459643790514823,0.262339827649991,0.49605078965061,0.0769776770157517,-0.159933981080478,-0.113254329436502,0.107195318566639,-0.0661576874794764,0.306520195281178,0.506714049709068,-0.370069171554786,0.103717130747791,0.416930867353226,0.729447619662795
β/α,0.834145588840499,1.96417855124995,1.93205154792089,0.469915560278696,0.50657334242361,1.94468776254784,1.04049847080552,1.74933206610916,1.89408294677576,1.65224187779755,1.4930589407507,2.07059982610518,0.839690190890921,1.41706507861549,1.56226225195727,1.36364805750532,1.9919179204234,0.959780217529729,2.01881115035384,1.26216598930816,1.1361846426306,2.11800136542339,1.25076812523225,1.48160223763352,2.13699030135983,0.941719685629962,1.80647245885597,0.993145579874677,1.69285079762717,1.28442673985075,1.94040831649004,1.88184205461164,1.62210864649914,1.7808751677254,1.42973290378177,0.993017065636242,1.89438535498978,2.08446913209671,2.72766563463304,0.999890300905992,1.89382976441722,1.1667142986627,0.951829150476664,2.05791556699712,0.927217774614675,1.78417374918307,2.22927816179574,1.79589954480587,2.37601384238928,1.06161174012067,1.68111921199383,1.3664038787159,2.36469202885364,1.59328259116353,2.36831672167176,1.18140376527556,1.22534602006497,2.49001391632558,1.63746589280147,1.66431162825422,1.08296215673499,0.0380370301987419,-0.121246839324095,0.738273169271627,1.6848344802193,1.36707294598375,2.18757703371956,2.36089237079256,1.74591672662606,1.66650838464661,1.57647867198429,2.28841193006395,1.75751679330534,1.15281574126131,1.18353493147963,0.234492086710878,1.28055329658434,1.57515666840688,0.914695788260861,0.807307617279076,1.32778743653008,0.437692151098779,1.64254770120531,0.446550759401617,1.12105192245934,1.86069651058579,1.5891512110789,1.15477596242304,1.60993854688451,1.35343994278183,1.31288554680733,1.60742223899851,1.23738109297436,1.49543714716909,1.90262597377871,1.5656741812249,1.34983547818755,0.934132274696438,1.2813947089147,1.26209994592261,1.09575701976969,2.06817406988132,2.08965029380157,1.96347617420909
γ/α,-0.113541980798017,1.63851540707982,0.533134795484831,0.835413791919646,0.441768979871003,0.289707370199726,0.0337687077722054,1.0262280587914,0.918816727462299,1.05220398771961,0.637989119885476,0.574362790427566,0.227718292741708,-0.43407493539573,1.11055814692482,0.436272717998277,0.286787725201232,0.0669541743345136,0.904380024308442,0.584273206894182,0.648715279920299,0.579436180195193,0.466127163506676,0.391211170032336,0.609680934439899,0.0681387650764906,0.987823965681632,0.199257366285964,1.13803610435706,-0.428203412379,0.985482766074714,1.05085409641754,0.886437648815361,0.720591216319032,-0.312103315270548,0.583766386376801,0.137571823991979,1.2517443489069,1.17964402689498,0.111574623407929,0.803243469642593,0.273425779025855,0.148250186143048,0.0287764714980884,0.330640400859337,-0.612954919307592,1.31872936410284,0.823193391719398,0.410083344059848,0.373588766881798,1.27891586345247,0.955663498956528,1.76143625518144,0.513731306099144,1.43293298593241,1.31239961720267,0.780954493259486,0.474349925464909,0.654737282885534,0.774435355497068,0.727286238746907,0.563663113630859,-0.00428400627814535,1.06410708284691,1.03034007655136,0.781867315697014,1.59777948281048,1.69806331236869,0.818063208954296,0.591381814609768,0.782691441736173,1.64566906925946,0.50585416469013,-1.30965385970518,0.0570404289545642,0.0579363736805373,-0.197490724788146,0.682304143949822,-0.922912332001724,-2.03822036602714,-0.447023432292271,-0.713265028345382,0.642985370482462,-0.383974204878,0.419235048099976,1.56839322585206,1.38183860376058,-0.286622882767855,0.204463714783246,0.215267905387079,0.550703907317927,0.395253101651772,0.494552771189026,0.143096886962962,-0.288914099858594,-0.212572164196671,-0.0427382274397573,-0.0674822945463347,0.440778962573728,0.60450510141541,-0.585209810001854,0.301178791734255,0.490829143156521,0.881931617864681
γ/β,-0.159962267689102,0.527397337848832,0.236396874888965,0.0401997534199363,0.410444874486851,0.104053820999817,-1.40474197268505,0.59339552374093,0.343340258347173,0.314976275255944,0.369214175480045,0.218524355616415,0.254610815755764,-0.432381819573157,0.574420038317764,0.196989760888282,0.0992141615796257,0.00690412151919394,0.173896561251171,0.202790144557888,0.485381521153313,0.139569843604068,0.362478549861391,0.189057254293034,0.274340464037949,0.0589744468995427,0.0173072536850746,0.197514276599673,0.618626003401635,-0.466051960211667,0.466378978224197,0.457832412578865,0.392079342467006,0.331175346594512,-0.559047238624914,-0.728332077870573,-0.618517276132152,0.50818301583113,0.446013915190866,0.0684056508128496,0.389115227612817,0.189769500503664,0.0532309067906259,-0.43953423965231,0.211115322618622,-0.417130605748829,0.543147481430592,0.411725436620225,0.150815182549803,0.330774873626805,0.732820536114454,0.371558074655144,0.472810809820753,0.237711214634142,0.561865119716226,0.758335711665828,0.560136163607907,0.214566254606896,0.359126575348569,0.457847617454187,0.612436894306111,1.14366585840964,0.445420031567502,0.206049494671431,0.579621710906316,0.56391404708985,0.271519396492391,0.634126658724873,0.479847590665628,0.226149860263573,0.344004046288772,0.651948517256319,0.139471557816829,-1.4019297537155,-2.21700403637287,-0.206782811066965,-0.180821917530173,0.350674394012759,-1.20339965580382,-2.94123752992075,-1.09570718703112,-0.578423320084351,0.0684445444444601,-0.409245226466445,0.299343071754248,0.746362718710479,0.714819112068065,-0.243762741258682,0.0791112954558786,0.0876983844909163,0.448928720353034,0.180867464211407,0.368603437420348,0.0910936023133873,-0.131476954945845,-0.136024501804585,-0.0819676828738092,-0.176371859809481,0.224678213528498,0.352599671502027,-0.537806070970143,0.00883925729576116,0.234716787658982,0.324189336234491
